time,event,direction,avg_left_m,avg_right_m,front_m,start_yaw,end_yaw,yaw_change,timed_out
07:55:15,start,left,1.714,0.348,0.333,-4.7,,,
07:55:16,complete,left,,,,-4.7,-91.5,-86.7,False
07:55:18,start,left,1.152,0.448,0.278,-136.6,,,
07:55:22,complete,left,,,,-136.6,-151.6,-15.0,True
07:55:22,start,right,0.930,1.032,0.189,-151.1,,,
07:55:26,complete,right,,,,-151.1,-151.5,-0.4,True
07:55:26,start,right,0.937,1.000,0.192,-151.4,,,
07:55:30,complete,right,,,,-151.4,-151.8,-0.4,True
07:55:30,start,right,0.935,0.971,0.191,-152.1,,,
07:55:35,complete,right,,,,-152.1,-152.3,-0.2,True
07:55:35,start,right,0.936,1.009,0.192,-152.4,,,
07:55:39,complete,right,,,,-152.4,-153.3,-0.9,True
07:55:39,start,right,0.936,1.007,0.193,-153.3,,,
07:55:43,complete,right,,,,-153.3,-153.9,-0.5,True
07:55:43,start,right,0.935,1.017,0.194,-153.6,,,
07:55:47,complete,right,,,,-153.6,-100.2,53.4,True
07:56:51,start,left,1.565,0.432,0.261,-120.8,,,
07:56:53,complete,left,,,,-120.8,-196.8,-76.0,False
07:56:57,start,left,1.661,0.385,0.281,-191.6,,,
07:56:59,complete,left,,,,-191.6,-268.9,-77.3,False
07:57:01,start,left,1.033,0.690,0.282,-347.9,,,
07:57:05,complete,left,,,,-347.9,-368.6,-20.8,True
07:57:05,start,right,0.908,1.153,0.166,-368.1,,,
07:57:09,complete,right,,,,-368.1,-369.0,-0.9,True
07:57:09,start,right,0.906,1.151,0.169,-368.9,,,
07:57:11,complete,right,,,,-368.9,-293.6,75.2,False
13:24:14,start,left,1.640,0.406,0.409,3.1,,,
13:24:18,complete,left,,,,3.1,3.0,-0.1,True
13:24:18,start,left,1.639,0.406,0.410,3.0,,,
13:24:21,complete,left,,,,3.0,3.1,0.1,True
13:24:22,start,left,1.639,0.406,0.407,3.1,,,
13:24:25,complete,left,,,,3.1,8.4,5.3,True
13:27:05,start,left,1.633,0.410,0.426,3.8,,,
13:27:08,complete,left,,,,3.8,-64.0,-67.8,True
13:27:35,start,left,1.648,0.397,0.392,5.5,,,
13:27:37,complete,left,,,,5.5,-69.7,-75.1,False
13:28:01,start,left,0.442,0.441,0.419,-5.4,,,
13:28:04,complete,left,,,,-5.4,-51.0,-45.7,True
13:29:16,start,left,1.299,0.406,0.357,-5.3,,,
13:29:18,complete,left,,,,-5.3,-73.9,-68.6,False
13:30:08,start,left,1.702,0.340,0.371,8.7,,,
13:30:09,complete,left,,,,8.7,-59.5,-68.2,False
13:30:12,start,left,0.589,0.486,0.382,-108.5,,,
13:30:13,complete,left,,,,-108.5,-177.8,-69.3,False
13:30:16,start,left,1.531,0.320,0.343,-166.6,,,
13:30:17,complete,left,,,,-166.6,-232.2,-65.7,False
13:30:22,start,left,1.486,0.367,0.365,-257.5,,,
13:30:23,complete,left,,,,-257.5,-324.6,-67.1,False
13:30:26,start,left,1.637,0.409,0.349,-341.6,,,
13:30:27,complete,left,,,,-341.6,-411.7,-70.2,False
13:30:31,start,left,1.570,0.419,0.351,-443.7,,,
13:30:32,complete,left,,,,-443.7,-509.6,-65.9,False
13:30:35,start,left,1.667,0.372,0.355,-522.8,,,
13:30:36,complete,left,,,,-522.8,-588.2,-65.4,False
13:30:41,start,left,0.633,0.534,0.374,-642.5,,,
13:30:42,complete,left,,,,-642.5,-710.7,-68.1,False
13:30:45,start,left,1.659,0.384,0.382,-695.5,,,
13:30:49,complete,left,,,,-695.5,-754.3,-58.8,True
13:31:40,start,left,1.670,0.367,0.333,-706.4,,,
13:31:41,complete,left,,,,-706.4,-774.0,-67.6,False
13:31:43,start,left,1.590,0.397,0.337,-802.6,,,
13:31:44,complete,left,,,,-802.6,-873.6,-71.0,False
13:31:47,start,left,1.683,0.353,0.345,-873.4,,,
13:31:48,complete,left,,,,-873.4,-938.6,-65.2,False
13:31:52,start,left,1.533,0.375,0.328,-965.8,,,
13:31:53,complete,left,,,,-965.8,-1036.8,-71.1,False
13:31:56,start,left,1.631,0.411,0.365,-1044.5,,,
