time,state,event,detected_pillars,candidate_color,candidate_y,candidate_angle,history,active_color,locked_x,locked_y,note
1787067349.337,search,no_candidate,,,,,,,,,
1787067349.409,search,no_candidate,,,,,,,,,
1787067349.484,search,no_candidate,,,,,,,,,
1787067349.562,search,no_candidate,,,,,,,,,
1787067349.638,search,no_candidate,,,,,,,,,
1787067349.714,search,no_candidate,,,,,,,,,
1787067349.791,search,no_candidate,green:1.11:4.0,,,,,,,,
1787067349.867,search,no_candidate,green:1.88:0.6,,,,,,,,
1787067349.946,search,no_candidate,green:1.87:0.8,,,,,,,,
1787067350.022,search,no_candidate,green:1.83:0.7,,,,,,,,
1787067350.097,search,no_candidate,green:1.03:6.0,,,,,,,,
1787067350.178,search,no_candidate,,,,,,,,,
1787067350.251,search,no_candidate,,,,,,,,,
1787067350.328,search,no_candidate,,,,,,,,,
1787067350.404,search,no_candidate,,,,,,,,,
1787067350.482,search,no_candidate,,,,,,,,,
1787067350.562,search,no_candidate,,,,,,,,,
1787067350.635,search,no_candidate,,,,,,,,,
1787067350.712,search,no_candidate,,,,,,,,,
1787067350.789,search,no_candidate,,,,,,,,,
1787067350.866,search,no_candidate,,,,,,,,,
1787067350.944,search,no_candidate,,,,,,,,,
1787067351.021,search,no_candidate,,,,,,,,,
1787067351.098,search,no_candidate,,,,,,,,,
1787067351.175,search,no_candidate,,,,,,,,,
1787067351.252,search,no_candidate,,,,,,,,,
1787067351.329,search,candidate,green:0.62:3.3,green,0.624,3.3,green,,,,
1787067351.407,search,no_candidate,,,,,,,,,
1787067351.484,search,no_candidate,,,,,,,,,
1787067351.565,search,no_candidate,,,,,,,,,
1787067351.639,search,no_candidate,,,,,,,,,
1787067351.716,search,no_candidate,,,,,,,,,
1787067351.793,search,no_candidate,,,,,,,,,
1787067351.870,search,no_candidate,,,,,,,,,
1787067351.947,search,no_candidate,,,,,,,,,
1787067352.024,search,no_candidate,,,,,,,,,
1787067352.100,search,no_candidate,,,,,,,,,
