time,left_m,right_m,raw_error,filtered_error,correction,angle
20:27:05.295,0.601,0.496,-0.105,-0.105,-0.314,64
20:27:05.522,0.601,0.496,-0.104,-0.105,-0.314,64
20:27:05.676,0.597,0.505,-0.091,-0.098,-0.276,65
20:27:05.830,0.589,0.512,-0.077,-0.086,-0.233,67
20:27:05.984,0.578,0.522,-0.055,-0.069,-0.172,70
20:27:06.139,0.565,0.533,-0.032,-0.049,-0.102,73
20:27:06.294,0.555,0.553,-0.002,-0.022,-0.014,77
20:27:06.451,0.545,0.571,0.025,0.004,0.066,81
20:27:06.607,0.537,0.579,0.042,0.026,0.118,84
20:27:06.759,,,0.496,0.326,1.000,96
20:27:06.915,,,0.498,0.436,1.000,108
20:27:07.070,,,0.469,0.464,1.000,121
20:27:07.225,,,0.375,0.418,1.000,125
20:27:07.381,,,0.268,0.334,0.832,118
20:27:07.536,,,0.172,0.242,0.546,106
20:27:07.691,,,0.116,0.167,0.369,95
20:27:07.845,,,0.087,0.118,0.273,91
20:27:07.999,,,0.069,0.088,0.214,88
20:27:08.153,,,0.048,0.064,0.150,85
20:27:08.307,,,0.037,0.048,0.116,83
20:27:08.461,,,0.028,0.036,0.088,82
20:27:08.616,,,0.025,0.029,0.076,82
20:27:08.769,,,0.019,0.023,0.058,81
20:27:08.927,,0.361,-0.089,-0.044,-0.245,68
20:27:10.159,0.992,0.167,-0.800,-0.800,-1.000,32
20:27:10.314,0.952,0.194,-0.759,-0.781,-1.000,32
20:27:10.471,0.215,0.228,0.013,-0.366,-0.126,38
20:27:10.624,0.200,0.268,0.068,-0.095,0.176,50
20:27:10.780,0.178,0.328,0.150,0.052,0.407,63
20:27:10.937,0.932,0.407,-0.524,-0.155,-1.000,63
20:27:11.093,1.032,0.467,-0.565,-0.408,-1.000,51
20:27:11.247,,0.560,0.110,-0.085,0.244,63
20:27:11.402,,0.640,0.190,0.090,0.533,75
20:27:11.564,,0.641,0.191,0.154,0.550,88
20:27:11.717,,0.645,0.195,0.181,0.578,100
20:27:11.873,0.941,0.645,-0.296,-0.148,-0.819,88
20:27:12.028,0.807,0.644,-0.163,-0.174,-0.495,76
20:27:12.183,0.735,0.641,-0.094,-0.131,-0.298,64
20:27:12.337,0.700,0.598,-0.102,-0.110,-0.309,64
20:27:12.492,0.672,0.559,-0.113,-0.112,-0.339,62
20:27:12.645,0.634,0.512,-0.122,-0.118,-0.366,61
20:28:13.378,0.553,0.553,0.000,0.000,0.000,78
20:28:13.528,0.552,0.542,-0.010,-0.007,-0.029,77
20:28:13.682,0.553,0.544,-0.009,-0.008,-0.027,77
20:28:13.838,0.552,0.546,-0.006,-0.007,-0.018,77
20:28:13.994,0.553,0.550,-0.003,-0.005,-0.011,77
20:28:14.150,0.550,0.551,0.000,-0.002,-0.000,78
20:28:14.304,0.550,0.554,0.004,0.002,0.012,79
20:28:14.462,0.549,0.553,0.003,0.002,0.009,78
20:28:14.617,0.553,0.554,0.002,0.002,0.005,78
20:28:14.773,0.555,0.556,0.002,0.002,0.005,78
20:28:14.928,0.554,0.560,0.006,0.004,0.016,79
20:28:15.081,,,0.443,0.285,1.000,91
20:28:15.238,,,0.408,0.367,1.000,104
20:28:15.394,,,0.358,0.367,1.000,116
20:28:15.551,,,0.252,0.304,0.779,115
20:28:15.707,,,0.178,0.231,0.557,104
20:28:15.862,,,0.124,0.169,0.392,96
20:28:16.017,,,0.086,0.120,0.272,91
20:28:16.173,,,0.064,0.086,0.202,87
20:28:16.328,,,0.053,0.067,0.166,86
20:28:16.483,,,0.046,0.054,0.140,85
20:28:16.638,,,0.038,0.045,0.116,83
20:28:16.793,,0.400,-0.050,0.004,-0.129,77
20:28:16.951,,0.339,-0.111,-0.061,-0.312,64
20:28:18.111,0.992,0.167,-0.800,-0.800,-1.000,32
20:28:18.268,0.961,0.185,-0.776,-0.790,-1.000,32
20:28:18.423,0.581,0.223,-0.359,-0.521,-1.000,32
20:28:18.578,0.200,0.280,0.080,-0.233,0.107,38
20:28:18.735,0.179,0.374,0.195,0.025,0.510,51
20:28:18.892,0.223,0.473,0.251,0.169,0.718,63
20:28:19.048,,0.611,0.161,0.021,0.420,63
20:28:19.205,,0.667,0.217,0.142,0.615,76
20:28:19.361,,0.666,0.216,0.190,0.638,88
20:28:19.519,,0.668,0.218,0.208,0.648,101
20:28:19.674,,0.666,0.216,0.214,0.647,108
20:28:19.831,0.913,0.658,-0.255,-0.105,-0.704,96
20:28:19.987,0.791,0.646,-0.145,-0.140,-0.432,83
20:28:20.142,0.719,0.641,-0.078,-0.107,-0.246,71
20:28:20.298,0.676,0.655,-0.021,-0.057,-0.080,74
20:28:20.452,0.634,0.634,-0.000,-0.021,-0.009,78
20:28:20.607,0.582,0.589,0.008,-0.002,0.019,79
20:28:20.761,0.538,0.541,0.003,0.002,0.010,78
20:33:43.538,0.540,0.554,0.014,0.014,0.043,80
20:33:43.764,0.542,0.553,0.011,0.013,0.034,80
20:33:43.917,0.547,0.550,0.003,0.008,0.010,78
20:33:44.072,0.552,0.549,-0.003,0.001,-0.009,78
20:33:44.230,0.556,0.546,-0.009,-0.005,-0.026,77
20:33:44.390,0.561,0.543,-0.018,-0.012,-0.050,76
20:33:44.613,0.571,0.532,-0.039,-0.030,-0.113,73
20:33:44.768,0.577,0.531,-0.046,-0.039,-0.135,72
20:33:44.922,0.580,0.532,-0.048,-0.045,-0.143,71
20:33:45.077,0.583,0.529,-0.054,-0.049,-0.160,71
20:33:45.229,,,0.396,0.233,1.000,83
20:33:45.385,,,0.384,0.330,1.000,95
20:33:45.540,,,0.358,0.351,1.000,108
20:33:45.697,,,0.274,0.309,0.836,117
20:33:45.853,,,0.188,0.241,0.586,106
20:33:46.009,,,0.129,0.174,0.407,97
20:33:46.163,,,0.092,0.125,0.289,92
20:33:46.318,,,0.071,0.092,0.221,88
20:33:46.472,,,0.057,0.071,0.178,86
20:33:46.627,,,0.049,0.058,0.150,85
20:33:46.782,,,0.041,0.048,0.126,84
20:33:46.941,,0.355,-0.095,-0.038,-0.255,71
20:33:48.248,0.979,0.167,-0.800,-0.800,-1.000,32
20:33:48.405,0.953,0.198,-0.755,-0.779,-1.000,32
20:33:48.562,0.590,0.243,-0.347,-0.593,-1.000,32
20:33:48.790,0.203,0.366,0.163,-0.033,0.403,50
20:33:48.945,1.001,0.489,-0.512,-0.172,-1.000,50
20:33:49.100,,0.642,0.192,-0.087,0.468,50
20:33:49.255,,0.662,0.212,0.104,0.591,62
20:33:49.411,,0.676,0.226,0.180,0.657,75
20:33:49.566,,0.668,0.218,0.206,0.649,87
20:33:49.722,,0.659,0.209,0.209,0.626,100
20:33:49.878,,0.654,0.204,0.207,0.614,107
20:35:12.381,0.567,0.530,-0.036,-0.036,-0.108,73
20:35:12.606,0.568,0.528,-0.039,-0.038,-0.117,73
20:35:12.760,0.567,0.533,-0.034,-0.036,-0.103,73
20:35:12.913,0.567,0.534,-0.032,-0.034,-0.098,74
20:35:13.069,0.566,0.537,-0.028,-0.031,-0.086,74
20:35:13.297,0.563,0.541,-0.022,-0.025,-0.067,75
20:35:13.450,0.560,0.546,-0.014,-0.019,-0.045,76
20:35:13.607,0.559,0.543,-0.017,-0.018,-0.051,76
20:35:13.758,0.557,0.549,-0.008,-0.012,-0.025,77
20:35:13.914,0.556,0.556,0.000,-0.005,-0.002,78
20:35:14.070,0.553,0.560,0.007,0.001,0.018,79
20:35:14.298,,,0.474,0.372,1.000,97
20:35:14.453,,,0.435,0.418,1.000,109
20:35:14.608,,,0.373,0.398,1.000,122
20:35:14.764,,,0.268,0.327,0.830,118
20:35:14.918,,,0.202,0.255,0.629,108
20:35:15.072,,,0.166,0.202,0.512,102
20:35:15.226,,,0.137,0.163,0.421,98
20:35:15.379,,,0.107,0.131,0.331,94
20:35:15.533,,,0.082,0.102,0.254,90
20:35:15.687,,,0.062,0.079,0.194,87
20:35:15.841,,,0.053,0.063,0.164,86
20:35:15.994,,,0.048,0.054,0.147,85
20:35:16.148,,,0.044,0.048,0.134,84
20:35:16.302,,,0.034,0.041,0.104,83
20:35:16.459,,0.376,-0.074,-0.026,-0.198,70
20:35:17.840,0.969,0.183,-0.785,-0.785,-1.000,32
20:35:17.996,0.222,0.209,-0.013,-0.382,-0.209,38
20:35:18.150,0.210,0.236,0.026,-0.126,0.015,51
20:35:18.304,0.200,0.265,0.065,-0.008,0.165,63
20:35:18.459,0.890,0.297,-0.594,-0.222,-1.000,63
20:35:18.613,0.929,0.332,-0.597,-0.464,-1.000,51
20:35:18.767,0.981,0.377,-0.604,-0.554,-1.000,38
20:35:18.921,,0.439,-0.011,-0.357,-0.171,38
20:35:19.075,,0.588,0.138,-0.064,0.335,51
20:35:19.229,,0.625,0.175,0.088,0.488,63
20:35:19.385,,0.645,0.195,0.156,0.568,75
20:35:19.539,,0.637,0.187,0.177,0.557,88
20:35:19.696,,0.620,0.170,0.175,0.512,100
20:35:19.852,,0.615,0.165,0.168,0.495,101
20:35:20.006,0.844,0.608,-0.236,-0.112,-0.654,89
20:35:20.160,0.737,0.601,-0.136,-0.138,-0.409,77
20:35:20.314,0.681,0.587,-0.094,-0.117,-0.290,65
20:35:20.468,0.625,0.553,-0.072,-0.089,-0.223,68
20:35:20.622,0.568,0.509,-0.059,-0.072,-0.182,70
20:36:44.626,0.572,0.527,-0.045,-0.045,-0.136,72
20:36:44.777,0.573,0.526,-0.047,-0.047,-0.141,72
20:36:44.930,0.571,0.526,-0.045,-0.046,-0.136,72
20:36:45.084,0.570,0.529,-0.040,-0.043,-0.123,72
20:36:45.239,0.569,0.535,-0.034,-0.038,-0.105,73
20:36:45.392,0.562,0.541,-0.021,-0.029,-0.066,75
20:36:45.550,0.557,0.544,-0.013,-0.020,-0.043,76
20:36:45.701,0.554,0.546,-0.008,-0.013,-0.025,77
20:36:45.854,0.550,0.555,0.004,-0.003,0.010,78
20:36:46.009,0.548,0.563,0.015,0.007,0.043,80
20:36:46.165,0.544,0.570,0.026,0.018,0.074,82
20:36:46.316,,,0.482,0.315,1.000,94
20:36:46.471,,,0.457,0.411,1.000,106
20:36:46.626,,,0.390,0.405,1.000,118
20:36:46.781,,,0.307,0.356,0.941,122
20:36:46.936,,,0.203,0.271,0.636,110
20:36:47.090,,,0.129,0.189,0.411,97
20:36:47.244,,,0.086,0.127,0.273,91
20:36:47.397,,,0.068,0.090,0.212,88
20:36:47.551,,,0.051,0.067,0.160,86
20:36:47.704,,,0.040,0.052,0.126,84
20:36:47.858,,,0.034,0.041,0.104,83
20:36:48.012,,,0.029,0.034,0.089,82
20:36:48.166,,0.401,-0.049,-0.001,-0.127,76
20:36:48.323,,0.353,-0.097,-0.058,-0.274,65
20:36:49.632,0.979,0.169,-0.800,-0.800,-1.000,32
20:36:49.786,0.947,0.201,-0.746,-0.774,-1.000,32
20:36:49.941,0.217,0.246,0.029,-0.268,-0.032,44
20:36:50.095,0.200,0.298,0.098,-0.042,0.236,57
20:36:50.249,0.231,0.362,0.131,0.069,0.367,69
20:36:50.404,0.977,0.425,-0.552,-0.328,-1.000,57
20:36:50.559,,0.480,0.030,-0.245,-0.022,57
20:36:50.713,,0.611,0.161,-0.000,0.418,69
20:36:50.868,,0.627,0.177,0.114,0.507,81
20:36:51.024,,0.627,0.177,0.155,0.521,94
20:36:51.180,0.987,0.630,-0.357,-0.044,-0.936,94
20:36:51.335,0.880,0.626,-0.254,-0.191,-0.734,82
20:36:51.489,0.795,0.624,-0.171,-0.185,-0.518,69
20:36:51.643,0.744,0.620,-0.124,-0.148,-0.382,60
